Time(ms),QR number,Center X(px),Center Z(px),width(px),height(px),Dist from camera(cm),Angle rel to camera(deg)
1603791082,20,-58,85,84,87,71.26436782,-6.140301141
1603791082,19,29,83,85,86,72.09302326,3.078991167
1603791082,25,-240,90,89,86,72.09302326,-23.99677729
1603791082,21,-146,88,88,86,72.09302326,-15.15263309
1603791083,20,-58,85,84,87,71.26436782,-6.140301141
1603791083,19,29,83,85,86,72.09302326,3.078991167
1603791083,25,-240,90,88,86,72.09302326,-23.99677729
1603791083,20,-58,85,84,87,71.26436782,-6.140301141
1603791083,25,-240,90,88,86,72.09302326,-23.99677729
1603791083,21,-146,88,88,86,72.09302326,-15.15263309
1603791084,20,-58,85,84,87,71.26436782,-6.140301141
1603791084,19,29,83,85,86,72.09302326,3.078991167
1603791084,25,-240,90,89,86,72.09302326,-23.99677729
1603791084,20,-58,85,84,87,71.26436782,-6.140301141
1603791084,19,29,83,85,86,72.09302326,3.078991167
1603791084,25,-240,90,88,86,72.09302326,-23.99677729
1603791084,21,-146,88,87,86,72.09302326,-15.15263309
1603791085,20,-58,85,84,87,71.26436782,-6.140301141
1603791085,25,-240,90,89,86,72.09302326,-23.99677729
1603791085,21,-146,88,88,86,72.09302326,-15.15263309
1603791085,21,-146,88,87,86,72.09302326,-15.15263309
1603791085,20,-58,85,84,87,71.26436782,-6.140301141
1603791085,19,30,83,86,85,72.94117647,3.184948328
1603791085,25,-240,90,88,86,72.09302326,-23.99677729
1603791086,19,-17,83,85,87,71.26436782,-1.806066884
1603791086,20,-107,86,90,90,68.88888889,-11.22549235
1603791086,21,-200,89,97,90,68.88888889,-20.35322915
1603791086,19,-44,84,87,89,69.66292135,-4.665734278
1603791086,20,-138,87,95,93,66.66666667,-14.35760196
1603791086,21,-236,91,101,94,65.95744681,-23.64101159
1603791086,19,-46,85,91,92,67.39130435,-4.87681235
1603791086,20,-143,88,97,96,64.58333333,-14.85517859
1603791086,21,-244,91,105,98,63.26530612,-24.35058706
1603791087,20,-133,88,98,98,63.26530612,-13.85780336
1603791087,19,-34,85,92,95,65.26315789,-3.608551777
1603791087,21,-235,91,104,99,62.62626263,-23.55176587
1603791087,20,-111,88,98,99,62.62626263,-11.63389475
1603791087,19,-12,85,95,96,64.58333333,-1.275082617
1603791087,21,-213,91,104,99,62.62626263,-21.55801681
1603791087,20,-84,88,98,100,62,-8.855849682
1603791087,19,16,84,97,99,62.62626263,1.699891934
1603791087,21,-186,91,102,100,62,-19.03443435
1603791088,20,-87,88,102,103,60.19417476,-9.16685046
1603791088,21,-193,92,107,104,59.61538462,-19.69654825
1603791088,19,18,85,100,101,61.38613861,1.912229427
1603791088,19,19,86,104,106,58.49056604,2.018378837
1603791088,20,-90,88,106,107,57.94392523,-9.477307373
1603791088,21,-200,92,111,107,57.94392523,-20.35322915
1603791088,19,19,85,107,109,56.88073394,2.018378837
1603791088,20,-94,88,109,112,55.35714286,-9.890374977
1603791088,21,-207,91,115,111,55.85585586,-21.00437328
1603791089,19,20,85,113,114,54.38596491,2.124514387
1603791089,20,-97,88,114,116,53.44827586,-10.19949804
1603791089,21,-215,91,119,115,53.91304348,-21.74163508
1603791089,19,26,86,118,118,52.54237288,2.760996057
1603791089,20,-97,89,119,120,51.66666667,-10.19949804
1603791089,21,-219,92,124,119,52.10084034,-22.10746528
1603791089,20,-78,88,120,123,50.40650407,-8.232284483
1603791089,21,-201,91,124,121,51.23966942,-20.44659105
1603791089,19,46,85,123,121,51.23966942,4.87681235
1603791089,20,-82,89,123,124,50,-8.648222042
1603791089,21,-208,92,127,124,50,-21.09693619
1603791089,19,45,86,125,123,50.40650407,4.771289541
1603791090,19,30,87,126,127,48.81889764,3.184948328
1603791090,21,-234,94,135,129,48.0620155,-23.4623988
1603791090,20,-103,91,127,130,47.69230769,-10.81593117
1603791090,20,-110,92,133,134,46.26865672,-11.53190478
1603791090,19,27,88,131,132,46.96969697,2.867014312
1603791090,21,-246,95,140,134,46.26865672,-24.52675511
1603791090,20,-115,93,139,141,43.97163121,-12.04110197
1603791090,19,27,89,137,137,45.25547445,2.867014312
1603791091,19,39,90,142,142,43.66197183,4.137495785
1603791091,21,-252,97,145,143,43.35664336,-25.05229683
1603791091,20,-108,94,141,144,43.05555556,-11.32770301
1603791091,21,-235,97,147,144,43.05555556,-23.55176587
1603791091,19,60,90,147,146,42.46575342,6.350334387
1603791091,20,-89,94,144,146,42.46575342,-9.373883203
1603791091,21,-245,98,153,150,41.33333333,-24.43873262
1603791091,20,-93,94,150,153,40.52287582,-9.787203665
1603791091,19,63,91,155,152,40.78947368,6.665061502
1603791091,19,66,91,160,157,39.49044586,6.979385102
1603791091,20,-97,95,155,159,38.99371069,-10.19949804
1603791092,20,-108,96,162,164,37.80487805,-11.32770301
1603791092,19,61,91,165,163,38.03680982,6.455287137
1603791092,19,45,92,167,167,37.1257485,4.771289541
1603791092,20,-130,97,169,170,36.47058824,-13.55688323
1603791092,19,44,92,175,173,35.83815029,4.665734278
1603791092,20,-137,97,176,177,35.02824859,-14.25781805
1603791092,20,-143,97,183,183,33.87978142,-14.85517859
1603791092,19,46,93,180,180,34.44444444,4.87681235
1603791092,19,48,94,190,189,32.8042328,5.08775781
1603791092,20,-150,99,192,193,32.12435233,-15.54793956
1603791093,19,50,96,199,198,31.31313131,5.29856507
1603791093,20,-158,101,202,202,30.69306931,-16.33398869
1603791093,20,-165,101,212,211,29.38388626,-17.01664568
1603791093,19,53,96,208,207,29.95169082,5.614504665
1603791093,19,56,99,221,220,28.18181818,5.930102106
1603791093,20,-175,104,224,224,27.67857143,-17.98326313
1603791093,19,60,100,232,230,26.95652174,6.350334387
1603791093,20,-183,105,235,235,26.38297872,-18.74903541
1603791094,20,-181,106,243,244,25.40983607,-18.5582309
1603791094,19,72,100,245,242,25.61983471,7.606749475
1603791094,20,-163,106,248,251,24.70119522,-16.82209909
1603791094,19,98,100,258,253,24.50592885,10.30240676
1603791094,20,-144,107,254,258,24.03100775,-14.95442199
1603791094,19,126,101,276,264,23.48484848,13.15447017
1603791094,20,-124,107,261,265,23.39622642,-12.95276451
1603791094,19,158,101,296,277,22.38267148,16.33398869
1603791094,20,-107,107,267,272,22.79411765,-11.22549235
1603791095,20,-107,107,267,272,22.79411765,-11.22549235
1603791096,20,-107,107,267,272,22.79411765,-11.22549235
1603791097,20,-107,107,267,272,22.79411765,-11.22549235
1603791098,20,-107,107,267,272,22.79411765,-11.22549235
1603791099,20,-107,107,267,272,22.79411765,-11.22549235
1603791100,13,-239,85,91,81,76.54320988,-23.9080188
1603791100,14,-275,87,95,85,72.94117647,-27.02524835
1603791101,13,-165,85,86,81,76.54320988,-17.01664568
1603791101,14,-257,88,95,85,72.94117647,-25.48683649
1603791101,13,-150,86,85,82,75.6097561,-15.54793956
1603791101,14,-240,88,94,87,71.26436782,-23.99677729
1603791101,13,-128,86,84,83,74.69879518,-13.35584445
1603791101,14,-218,88,92,87,71.26436782,-22.01618413
1603791102,13,-77,86,83,84,73.80952381,-8.128161681
1603791102,14,-166,89,90,88,70.45454545,-17.11376787
1603791102,15,-261,91,95,89,69.66292135,-25.83222301
1603791102,14,-144,89,90,88,70.45454545,-14.95442199
1603791102,13,-54,85,84,85,72.94117647,-5.719742748
1603791102,15,-238,91,94,89,69.66292135,-23.81913823
1603791103,13,-51,86,86,88,70.45454545,-5.403915134
1603791103,14,-143,88,92,91,68.13186813,-14.85517859
1603791103,15,-239,91,96,92,67.39130435,-23.9080188
1603791103,13,-52,86,88,89,69.66292135,-5.509228564
1603791103,15,-244,92,98,94,65.95744681,-24.35058706
1603791103,14,-146,89,94,93,66.66666667,-15.15263309
1603791103,13,-40,86,89,91,68.13186813,-4.243202758
1603791103,14,-135,89,94,94,65.95744681,-14.05798553
1603791103,15,-234,91,99,95,65.26315789,-23.4623988
1603791104,13,-25,86,91,94,65.95744681,-2.654958877
1603791104,15,-221,91,100,96,64.58333333,-22.28967337
1603791104,14,-122,88,95,95,65.26315789,-12.75073169
1603791104,13,-25,87,95,96,64.58333333,-2.654958877
1603791104,14,-126,89,99,99,62.62626263,-13.15447017
1603791104,13,-9,88,99,99,62.62626263,-0.956381035
1603791104,15,-216,93,104,102,60.78431373,-21.83326879
1603791104,14,-112,90,100,101,61.38613861,-11.73581001
1603791105,14,-105,91,103,104,59.61538462,-11.0208543
1603791105,13,2,88,102,103,60.19417476,0.212547884
1603791105,15,-212,93,106,105,59.04761905,-21.46603274
1603791105,14,-109,91,108,109,56.88073394,-11.42984068
1603791105,15,-220,94,110,109,56.88073394,-22.19862844
1603791105,13,2,90,112,112,55.35714286,0.212547884
1603791105,15,-232,95,116,115,53.91304348,-23.28330135
1603791106,13,20,91,116,116,53.44827586,2.124514387
1603791106,14,-100,94,116,118,52.54237288,-10.50802214
1603791106,15,-220,96,117,117,52.99145299,-22.19862844
1603791106,15,-216,97,120,121,51.23966942,-21.83326879
1603791106,14,-93,95,120,122,50.81967213,-9.787203665
1603791107,15,-228,98,126,128,48.4375,-22.92365872
1603791107,14,-98,95,126,130,47.69230769,-10.30240676
1603791107,13,33,92,129,128,48.4375,3.502686127
1603791107,15,-236,99,131,133,46.61654135,-23.64101159
1603791107,14,-102,97,131,134,46.26865672,-10.71336416
1603791107,13,35,93,134,133,46.61654135,3.714392762
1603791107,14,-107,97,135,138,44.92753623,-11.22549235
1603791107,15,-245,100,136,136,45.58823529,-24.43873262
1603791107,13,35,94,138,137,45.25547445,3.714392762
1603791107,13,17,94,140,142,43.66197183,1.806066884
1603791107,14,-130,98,142,144,43.05555556,-13.55688323
1603791108,13,26,96,149,146,42.46575342,2.760996057
1603791108,14,-113,101,149,152,40.78947368,-11.83765001
1603791108,13,44,98,153,152,40.78947368,4.665734278
1603791108,14,-129,101,156,158,39.24050633,-13.45640604
1603791108,13,33,98,157,156,39.74358974,3.502686127
1603791108,13,25,99,161,160,38.75,2.654958877
1603791108,14,-142,102,161,163,38.03680982,-14.75584391
1603791109,14,-130,102,164,168,36.9047619,-13.55688323
1603791109,13,41,99,170,166,37.34939759,4.3488808
1603791109,14,-114,102,169,172,36.04651163,-11.93941418
1603791109,13,63,98,177,171,36.25730994,6.665061502
1603791109,14,-96,102,170,175,35.42857143,-10.09652277
1603791109,13,84,99,184,177,35.02824859,8.855849682
1603791109,14,-85,102,173,179,34.63687151,-8.959575995
1603791109,13,101,100,192,185,33.51351351,10.61072761
1603791110,14,-90,105,181,187,33.15508021,-9.477307373
1603791110,13,104,103,201,192,32.29166667,10.91842808
1603791110,14,-93,106,190,196,31.63265306,-9.787203665
1603791110,13,111,104,212,202,30.69306931,11.63389475
1603791110,14,-64,106,193,202,30.69306931,-6.769881768
1603791110,13,146,104,226,213,29.10798122,15.15263309
1603791110,15,-219,108,168,192,32.29166667,-22.10746528
1603791110,14,-30,106,197,207,29.95169082,-3.184948328
1603791110,13,186,106,242,222,27.92792793,19.03443435
1603791111,15,-187,108,167,194,31.95876289,-19.12935055
1603791111,14,2,108,205,214,28.97196262,0.212547884
1603791111,15,-160,109,168,198,31.31313131,-16.52952974
1603791111,14,32,110,219,224,27.67857143,3.396796524
1603791111,15,-135,110,169,204,30.39215686,-14.05798553
1603791111,14,63,112,233,236,26.27118644,6.665061502
1603791111,15,-108,111,172,210,29.52380952,-11.32770301
1603791111,14,97,113,247,249,24.89959839,10.19949804
1603791111,1,-249,109,132,187,33.15508021,-24.79008255
1603791111,15,-86,112,176,216,28.7037037,-9.063243131
1603791111,14,128,114,262,260,23.84615385,13.35584445
1603791112,1,-233,110,132,191,32.46073298,-23.37291056
1603791112,15,-68,113,183,224,27.67857143,-7.188701044
1603791112,1,-215,110,133,196,31.63265306,-21.74163508
1603791112,15,-44,114,191,236,26.27118644,-4.665734278
1603791112,1,-192,110,133,203,30.54187192,-19.60229066
1603791113,1,-192,110,133,203,30.54187192,-19.60229066
1603791114,1,-192,110,133,203,30.54187192,-19.60229066
1603791115,24,-268,91,89,78,79.48717949,-26.43182263
1603791115,24,-196,91,81,76,81.57894737,-19.9786544
1603791115,24,-172,90,80,75,82.66666667,-17.6943604
1603791115,23,-258,92,91,81,76.54320988,-25.5733706
1603791116,24,-133,89,77,75,82.66666667,-13.85780336
1603791116,23,-216,91,87,79,78.48101266,-21.83326879
1603791116,22,-259,92,93,82,75.6097561,-25.6597798
1603791116,23,-171,90,84,77,80.51948052,-17.59785176
1603791116,24,-66,88,72,74,83.78378378,-6.979385102
1603791116,23,-144,90,81,78,79.48717949,-14.95442199
1603791116,22,-229,92,90,80,77.5,-23.01374985
1603791116,24,-41,88,71,74,83.78378378,-4.3488808
1603791116,23,-118,90,80,78,79.48717949,-12.34570154
1603791116,22,-202,92,88,81,76.54320988,-20.53983966
1603791117,24,-15,87,73,74,83.78378378,-1.593705304
1603791117,23,-92,89,78,78,79.48717949,-9.683968218
1603791117,18,-263,91,92,83,74.69879518,-26.00416516
1603791117,22,-175,90,86,81,76.54320988,-17.98326313
1603791117,24,0,87,73,76,81.57894737,0
1603791117,23,-78,88,78,79,78.48101266,-8.232284483
1603791117,22,-162,90,87,81,76.54320988,-16.72467549
1603791117,18,-249,90,92,83,74.69879518,-24.79008255
1603791117,23,-82,88,81,81,76.54320988,-8.648222042
1603791117,24,0,87,75,78,79.48717949,0
1603791117,22,-167,90,90,84,73.80952381,-17.21078878
1603791117,18,-258,91,96,86,72.09302326,-25.5733706
1603791118,24,19,87,79,81,76.54320988,2.018378837
1603791118,23,-64,88,82,83,74.69879518,-6.769881768
1603791118,22,-152,90,89,85,72.94117647,-15.74502765
1603791118,18,-244,91,95,87,71.26436782,-24.35058706
1603791118,23,-37,89,83,84,73.80952381,-3.92599788
1603791118,22,-125,91,89,87,71.26436782,-13.0536585
