Time(ms),QR number,Center X(px),Center Z(px),width(px),height(px),Dist from camera(cm),Angle rel to camera(deg)
1603790556,27,-74,86,76,77,80.51948052,-7.815471397
1603790556,32,-234,87,79,76,81.57894737,-23.4623988
1603790556,31,-155,87,79,76,81.57894737,-16.03994331
1603790556,26,5,86,76,77,80.51948052,0.531356915
1603790556,25,84,86,79,78,79.48717949,8.855849682
1603790556,20,253,83,86,81,76.54320988,25.13945354
1603790556,21,170,86,85,78,79.48717949,17.5012399
1603790557,27,-74,87,76,78,79.48717949,-7.815471397
1603790557,31,-155,87,79,77,80.51948052,-16.03994331
1603790557,32,-233,87,78,76,81.57894737,-23.37291056
1603790557,26,5,86,76,77,80.51948052,0.531356915
1603790557,25,84,86,79,77,80.51948052,8.855849682
1603790557,20,253,83,86,81,76.54320988,25.13945354
1603790557,21,170,86,85,78,79.48717949,17.5012399
1603790557,27,-75,87,77,77,80.51948052,-7.91975449
1603790557,32,-233,87,78,77,80.51948052,-23.37291056
1603790557,31,-155,87,79,77,80.51948052,-16.03994331
1603790557,26,5,86,76,77,80.51948052,0.531356915
1603790557,25,85,86,80,77,80.51948052,8.959575995
1603790557,20,252,83,87,81,76.54320988,25.05229683
1603790557,21,170,86,85,78,79.48717949,17.5012399
1603790558,32,-234,87,79,76,81.57894737,-23.4623988
1603790558,31,-155,87,79,77,80.51948052,-16.03994331
1603790558,26,5,86,76,77,80.51948052,0.531356915
1603790558,25,84,86,79,77,80.51948052,8.855849682
1603790558,20,253,83,86,81,76.54320988,25.13945354
1603790558,21,170,86,85,78,79.48717949,17.5012399
1603790558,31,-155,87,79,77,80.51948052,-16.03994331
1603790558,32,-234,87,79,76,81.57894737,-23.4623988
1603790558,26,5,86,76,77,80.51948052,0.531356915
1603790558,25,84,86,79,77,80.51948052,8.855849682
1603790558,20,253,83,86,81,76.54320988,25.13945354
1603790558,21,170,86,85,78,79.48717949,17.5012399
1603790558,32,-234,87,79,76,81.57894737,-23.4623988
1603790558,31,-155,87,79,76,81.57894737,-16.03994331
1603790558,25,85,86,80,77,80.51948052,8.959575995
1603790558,26,5,86,76,77,80.51948052,0.531356915
1603790558,20,253,83,86,81,76.54320988,25.13945354
1603790558,21,170,85,85,79,78.48101266,17.5012399
1603790559,32,-234,87,79,76,81.57894737,-23.4623988
1603790559,31,-155,87,79,76,81.57894737,-16.03994331
1603790559,25,85,86,80,77,80.51948052,8.959575995
1603790559,26,5,86,76,77,80.51948052,0.531356915
1603790559,20,253,83,86,81,76.54320988,25.13945354
1603790559,21,171,86,84,78,79.48717949,17.59785176
1603790559,32,-234,87,79,77,80.51948052,-23.4623988
1603790559,26,5,86,76,77,80.51948052,0.531356915
1603790559,25,84,86,79,77,80.51948052,8.855849682
1603790559,20,252,83,87,81,76.54320988,25.05229683
1603790559,21,170,86,85,78,79.48717949,17.5012399
1603790560,32,-234,87,79,77,80.51948052,-23.4623988
1603790560,31,-155,87,79,76,81.57894737,-16.03994331
1603790560,26,5,86,76,77,80.51948052,0.531356915
1603790560,25,85,86,80,77,80.51948052,8.959575995
1603790560,20,253,83,86,81,76.54320988,25.13945354
1603790560,21,171,86,84,78,79.48717949,17.59785176
1603790560,27,-74,87,76,77,80.51948052,-7.815471397
1603790560,32,-234,87,79,76,81.57894737,-23.4623988
1603790560,31,-155,87,79,77,80.51948052,-16.03994331
1603790560,26,5,86,76,77,80.51948052,0.531356915
1603790560,25,85,86,80,77,80.51948052,8.959575995
1603790560,20,253,83,86,81,76.54320988,25.13945354
1603790560,21,170,86,85,78,79.48717949,17.5012399
1603790560,27,-74,87,76,77,80.51948052,-7.815471397
1603790560,32,-234,87,79,77,80.51948052,-23.4623988
1603790560,31,-155,87,79,77,80.51948052,-16.03994331
1603790560,26,5,86,76,77,80.51948052,0.531356915
1603790560,25,84,86,79,77,80.51948052,8.855849682
1603790560,20,253,83,86,81,76.54320988,25.13945354
1603790560,21,171,86,84,78,79.48717949,17.59785176
1603790561,27,-75,87,77,78,79.48717949,-7.91975449
1603790561,32,-234,87,79,76,81.57894737,-23.4623988
1603790561,31,-155,87,79,77,80.51948052,-16.03994331
1603790561,26,5,86,76,77,80.51948052,0.531356915
1603790561,25,84,86,79,77,80.51948052,8.855849682
1603790561,20,252,83,87,81,76.54320988,25.05229683
1603790561,21,171,86,84,78,79.48717949,17.59785176
1603790561,27,-75,87,77,77,80.51948052,-7.91975449
1603790561,32,-234,87,79,77,80.51948052,-23.4623988
1603790561,31,-155,87,79,76,81.57894737,-16.03994331
1603790561,26,5,86,76,77,80.51948052,0.531356915
1603790561,25,84,86,79,77,80.51948052,8.855849682
1603790561,20,252,83,87,81,76.54320988,25.05229683
1603790561,21,171,86,84,78,79.48717949,17.59785176
